#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.900 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5368   0.00865   0.00332  -0.0065   0.8694   0.2846
  -4.000  -0.4316   0.00810   0.00280  -0.0048   0.8146   0.3371
  -3.000  -0.3249   0.00771   0.00242  -0.0034   0.7539   0.3919
  -2.000  -0.2172   0.00746   0.00216  -0.0021   0.6903   0.4479
  -1.000  -0.1088   0.00733   0.00201  -0.0010   0.6268   0.5055
   0.000   0.0000   0.00729   0.00196   0.0000   0.5651   0.5651
   1.000   0.1088   0.00733   0.00201   0.0010   0.5055   0.6269
   2.000   0.2172   0.00746   0.00216   0.0021   0.4478   0.6903
   3.000   0.3249   0.00771   0.00242   0.0034   0.3919   0.7539
   4.000   0.4317   0.00810   0.00280   0.0048   0.3371   0.8147
   5.000   0.5369   0.00865   0.00332   0.0065   0.2846   0.8694
   6.000   0.6396   0.00937   0.00398   0.0086   0.2364   0.9146
   7.000   0.7389   0.01031   0.00480   0.0114   0.1931   0.9511
   8.000   0.8449   0.01151   0.00582   0.0123   0.1545   0.9773
   9.000   0.9781   0.01302   0.00713   0.0067   0.1207   0.9873
  10.000   1.1100   0.01458   0.00858   0.0011   0.0964   0.9952
  11.000   1.1923   0.01608   0.01004   0.0050   0.0811   1.0000
  12.000   1.2073   0.01745   0.01145   0.0217   0.0724   1.0000
  13.000   1.2600   0.01997   0.01399   0.0289   0.0637   1.0000
  14.000   1.3110   0.02340   0.01753   0.0340   0.0569   1.0000
  15.000   1.3521   0.02829   0.02256   0.0377   0.0516   1.0000
  16.000   1.3824   0.03494   0.02940   0.0395   0.0473   1.0000
  17.000   1.3984   0.04391   0.03864   0.0394   0.0441   1.0000
  18.000   1.3842   0.05730   0.05232   0.0367   0.0416   1.0000
  19.000   1.3629   0.07260   0.06795   0.0320   0.0394   1.0000
  20.000   1.3112   0.09280   0.08848   0.0245   0.0375   1.0000
  21.000   1.2764   0.11153   0.10756   0.0164   0.0359   1.0000
  22.000   1.2419   0.13077   0.12701   0.0068   0.0341   1.0000
  23.000   1.2228   0.14818   0.14469  -0.0033   0.0324   1.0000
  24.000   1.2136   0.16427   0.16093  -0.0139   0.0306   1.0000
  25.000   1.2074   0.18011   0.17699  -0.0255   0.0289   1.0000
