#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.005 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0125   0.08619   0.05395  -0.0310   1.0000   1.0000
  -4.000   0.0080   0.08164   0.04959  -0.0288   1.0000   1.0000
  -3.000   0.0204   0.07822   0.04645  -0.0245   1.0000   1.0000
  -2.000   0.0231   0.07589   0.04445  -0.0181   1.0000   1.0000
  -1.000   0.0153   0.07459   0.04341  -0.0097   1.0000   1.0000
   0.000   0.0000   0.07418   0.04310   0.0000   1.0000   1.0000
   1.000  -0.0153   0.07458   0.04340   0.0097   1.0000   1.0000
   2.000  -0.0231   0.07588   0.04443   0.0181   1.0000   1.0000
   3.000  -0.0204   0.07820   0.04642   0.0245   1.0000   1.0000
   4.000  -0.0079   0.08161   0.04955   0.0288   1.0000   1.0000
   5.000   0.0127   0.08615   0.05391   0.0310   1.0000   1.0000
   6.000   0.0386   0.09176   0.05946   0.0315   1.0000   1.0000
   7.000   0.0677   0.09831   0.06606   0.0306   1.0000   1.0000
   8.000   0.0989   0.10568   0.07354   0.0287   1.0000   1.0000
   9.000   0.1318   0.11368   0.08170   0.0258   1.0000   1.0000
  10.000   0.1661   0.12219   0.09040   0.0221   1.0000   1.0000
  11.000   0.2019   0.13111   0.09953   0.0178   1.0000   1.0000
  12.000   0.2389   0.14035   0.10900   0.0129   1.0000   1.0000
  13.000   0.2772   0.14990   0.11876   0.0075   1.0000   1.0000
  14.000   0.3163   0.15980   0.12888   0.0017   1.0000   1.0000
  15.000   0.3560   0.17006   0.13938  -0.0046   1.0000   1.0000
  16.000   0.3963   0.18060   0.15016  -0.0113   1.0000   1.0000
  17.000   0.4370   0.19141   0.16120  -0.0183   1.0000   1.0000
  18.000   0.4777   0.20248   0.17252  -0.0256   1.0000   1.0000
  19.000   0.5184   0.21380   0.18409  -0.0333   1.0000   1.0000
  20.000   0.5588   0.22535   0.19590  -0.0412   1.0000   1.0000
  21.000   0.5990   0.23711   0.20792  -0.0494   1.0000   1.0000
  22.000   0.6386   0.24906   0.22016  -0.0579   1.0000   1.0000
  23.000   0.6775   0.26120   0.23260  -0.0666   1.0000   1.0000
  24.000   0.7158   0.27352   0.24523  -0.0755   1.0000   1.0000
  25.000   0.7533   0.28600   0.25803  -0.0847   1.0000   1.0000
