#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.600 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5264   0.00963   0.00406  -0.0094   0.9031   0.3166
  -4.000  -0.4236   0.00895   0.00343  -0.0070   0.8543   0.3709
  -3.000  -0.3187   0.00848   0.00298  -0.0051   0.7970   0.4271
  -2.000  -0.2128   0.00818   0.00267  -0.0033   0.7345   0.4851
  -1.000  -0.1065   0.00803   0.00248  -0.0016   0.6702   0.5448
   0.000   0.0000   0.00798   0.00242   0.0000   0.6066   0.6066
   1.000   0.1065   0.00803   0.00248   0.0016   0.5448   0.6702
   2.000   0.2128   0.00818   0.00267   0.0033   0.4851   0.7345
   3.000   0.3188   0.00848   0.00298   0.0050   0.4271   0.7970
   4.000   0.4237   0.00895   0.00343   0.0070   0.3709   0.8543
   5.000   0.5265   0.00963   0.00406   0.0094   0.3166   0.9031
   6.000   0.6266   0.01056   0.00484   0.0122   0.2647   0.9432
   7.000   0.7429   0.01178   0.00586   0.0112   0.2145   0.9681
   8.000   0.8807   0.01325   0.00711   0.0049   0.1682   0.9812
   9.000   1.0161   0.01490   0.00856  -0.0014   0.1311   0.9926
  10.000   1.1272   0.01652   0.01010  -0.0033   0.1061   1.0000
  11.000   1.1290   0.01769   0.01129   0.0163   0.0942   1.0000
  12.000   1.1665   0.01988   0.01350   0.0271   0.0826   1.0000
  13.000   1.2168   0.02300   0.01671   0.0333   0.0727   1.0000
  14.000   1.2589   0.02751   0.02135   0.0377   0.0652   1.0000
  15.000   1.2902   0.03381   0.02784   0.0402   0.0592   1.0000
  16.000   1.3061   0.04254   0.03682   0.0406   0.0546   1.0000
  17.000   1.3031   0.05435   0.04887   0.0387   0.0510   1.0000
  18.000   1.2936   0.06794   0.06276   0.0349   0.0478   1.0000
  19.000   1.2719   0.08374   0.07887   0.0296   0.0453   1.0000
  20.000   1.2507   0.10016   0.09553   0.0231   0.0429   1.0000
  21.000   1.2312   0.11681   0.11248   0.0155   0.0405   1.0000
  22.000   1.2210   0.13241   0.12826   0.0073   0.0384   1.0000
  23.000   1.2091   0.14869   0.14482  -0.0024   0.0363   1.0000
  24.000   1.2074   0.16352   0.15981  -0.0125   0.0343   1.0000
  25.000   1.1857   0.18266   0.17930  -0.0265   0.0324   1.0000
