#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.060 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.7587   0.02936   0.02034   0.0347   1.0000   0.4926
  -4.000  -0.6952   0.02843   0.01958   0.0420   1.0000   0.5613
  -3.000  -0.6294   0.02846   0.01991   0.0490   1.0000   0.6316
  -2.000  -0.5082   0.03005   0.02173   0.0458   0.9783   0.7150
  -1.000  -0.3112   0.03304   0.02480   0.0322   0.9195   0.7991
   0.000   0.0000   0.03552   0.02725   0.0000   0.8636   0.8636
   1.000   0.3112   0.03304   0.02479  -0.0322   0.7992   0.9195
   2.000   0.5082   0.03005   0.02172  -0.0458   0.7150   0.9783
   3.000   0.6292   0.02845   0.01991  -0.0490   0.6317   1.0000
   4.000   0.6949   0.02843   0.01957  -0.0420   0.5614   1.0000
   5.000   0.7585   0.02936   0.02033  -0.0346   0.4926   1.0000
   6.000   0.8181   0.03093   0.02176  -0.0262   0.4286   1.0000
   7.000   0.8743   0.03315   0.02383  -0.0169   0.3708   1.0000
   8.000   0.9350   0.03577   0.02614  -0.0082   0.3199   1.0000
   9.000   0.9647   0.04032   0.03097   0.0040   0.2779   1.0000
  10.000   0.9940   0.04573   0.03654   0.0152   0.2445   1.0000
  11.000   0.6310   0.09010   0.08192   0.0244   0.2453   1.0000
  12.000   0.5381   0.12641   0.11823   0.0097   0.2650   1.0000
  13.000   0.5046   0.15054   0.14243  -0.0016   0.3027   1.0000
  14.000   0.5022   0.16130   0.15313  -0.0057   0.2777   1.0000
  16.000   0.5912   0.18946   0.18139  -0.0122   0.2315   1.0000
  17.000   0.6042   0.19925   0.19114  -0.0186   0.2136   1.0000
  18.000   0.6248   0.20874   0.20061  -0.0257   0.1948   1.0000
  19.000   0.6568   0.21986   0.21175  -0.0323   0.1781   1.0000
  20.000   0.6902   0.23104   0.22295  -0.0393   0.1634   1.0000
  21.000   0.7239   0.24222   0.23416  -0.0467   0.1510   1.0000
  22.000   0.7583   0.25342   0.24538  -0.0543   0.1401   1.0000
  23.000   0.7935   0.26474   0.25674  -0.0620   0.1298   1.0000
  24.000   0.8337   0.27834   0.27040  -0.0687   0.1201   1.0000
  25.000   0.8640   0.28717   0.27930  -0.0779   0.1107   1.0000
