#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.270 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5478   0.01355   0.00699  -0.0081   0.9483   0.3752
  -4.000  -0.4210   0.01238   0.00603  -0.0106   0.9166   0.4387
  -3.000  -0.3112   0.01142   0.00523  -0.0088   0.8739   0.5006
  -2.000  -0.2082   0.01081   0.00471  -0.0057   0.8181   0.5628
  -1.000  -0.1042   0.01046   0.00439  -0.0028   0.7564   0.6266
   0.000   0.0000   0.01035   0.00428   0.0000   0.6916   0.6916
   1.000   0.1042   0.01046   0.00439   0.0028   0.6266   0.7564
   2.000   0.2082   0.01081   0.00471   0.0057   0.5628   0.8181
   3.000   0.3112   0.01142   0.00523   0.0088   0.5005   0.8739
   4.000   0.4210   0.01238   0.00603   0.0106   0.4387   0.9166
   5.000   0.5478   0.01355   0.00699   0.0081   0.3753   0.9483
   6.000   0.7032   0.01486   0.00806  -0.0012   0.3076   0.9672
   7.000   0.8523   0.01628   0.00922  -0.0100   0.2454   0.9875
   8.000   0.9810   0.01775   0.01051  -0.0155   0.1938   1.0000
   9.000   1.0162   0.01910   0.01178  -0.0028   0.1644   1.0000
  10.000   1.0259   0.02075   0.01330   0.0147   0.1432   1.0000
  11.000   1.0502   0.02287   0.01548   0.0281   0.1247   1.0000
  12.000   1.0889   0.02638   0.01898   0.0360   0.1090   1.0000
  13.000   1.1296   0.03078   0.02352   0.0411   0.0962   1.0000
  14.000   1.1640   0.03643   0.02930   0.0445   0.0863   1.0000
  15.000   1.1919   0.04331   0.03636   0.0464   0.0785   1.0000
  16.000   1.2119   0.05153   0.04483   0.0469   0.0721   1.0000
  17.000   1.2244   0.06125   0.05482   0.0458   0.0669   1.0000
  18.000   1.2379   0.07129   0.06502   0.0440   0.0625   1.0000
  19.000   1.2254   0.08572   0.07990   0.0385   0.0587   1.0000
  20.000   1.2000   0.10286   0.09750   0.0308   0.0557   1.0000
  21.000   1.1435   0.12674   0.12197   0.0172   0.0531   1.0000
  22.000   0.7738   0.24363   0.23982  -0.0519   0.0542   1.0000
  23.000   0.8044   0.25585   0.25206  -0.0610   0.0499   1.0000
  25.000   0.8721   0.27693   0.27319  -0.0777   0.0424   1.0000
