#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.273 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5462   0.01348   0.00694  -0.0084   0.9481   0.3747
  -4.000  -0.4202   0.01232   0.00597  -0.0107   0.9161   0.4380
  -3.000  -0.3109   0.01137   0.00518  -0.0088   0.8734   0.4997
  -2.000  -0.2081   0.01076   0.00466  -0.0057   0.8172   0.5619
  -1.000  -0.1041   0.01042   0.00435  -0.0028   0.7553   0.6257
   0.000   0.0000   0.01030   0.00424   0.0000   0.6905   0.6905
   1.000   0.1041   0.01042   0.00435   0.0028   0.6257   0.7553
   2.000   0.2081   0.01076   0.00466   0.0057   0.5619   0.8172
   3.000   0.3109   0.01137   0.00518   0.0088   0.4997   0.8733
   5.000   0.5462   0.01348   0.00694   0.0084   0.3747   0.9481
   7.000   0.8506   0.01621   0.00917  -0.0097   0.2450   0.9869
   8.000   0.9818   0.01769   0.01047  -0.0157   0.1931   1.0000
   9.000   1.0172   0.01904   0.01173  -0.0029   0.1638   1.0000
  10.000   1.0272   0.02067   0.01325   0.0145   0.1427   1.0000
  11.000   1.0507   0.02279   0.01542   0.0280   0.1243   1.0000
  12.000   1.0897   0.02629   0.01891   0.0359   0.1086   1.0000
  13.000   1.1302   0.03069   0.02345   0.0410   0.0959   1.0000
  14.000   1.1645   0.03635   0.02923   0.0445   0.0861   1.0000
  15.000   1.1923   0.04324   0.03630   0.0463   0.0783   1.0000
  16.000   1.2123   0.05148   0.04479   0.0468   0.0719   1.0000
  17.000   1.2243   0.06127   0.05486   0.0457   0.0667   1.0000
  18.000   1.2362   0.07155   0.06532   0.0436   0.0623   1.0000
  19.000   1.2284   0.08529   0.07945   0.0386   0.0585   1.0000
  20.000   1.1995   0.10300   0.09766   0.0306   0.0555   1.0000
  21.000   1.1638   0.12307   0.11817   0.0195   0.0528   1.0000
  24.000   0.8364   0.26727   0.26352  -0.0699   0.0457   1.0000
  25.000   0.8732   0.27663   0.27290  -0.0773   0.0424   1.0000
