#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0238   0.07239   0.05016  -0.0315   1.0000   1.0000
  -4.000   0.0473   0.06739   0.04533  -0.0302   1.0000   1.0000
  -3.000   0.0599   0.06375   0.04197  -0.0264   1.0000   1.0000
  -2.000   0.0569   0.06147   0.03999  -0.0200   1.0000   1.0000
  -1.000   0.0347   0.06042   0.03918  -0.0107   1.0000   1.0000
   0.000   0.0000   0.06016   0.03899   0.0000   1.0000   1.0000
   1.000  -0.0347   0.06041   0.03916   0.0107   1.0000   1.0000
   2.000  -0.0569   0.06144   0.03997   0.0200   1.0000   1.0000
   3.000  -0.0598   0.06372   0.04193   0.0264   1.0000   1.0000
   4.000  -0.0472   0.06736   0.04529   0.0301   1.0000   1.0000
   5.000  -0.0235   0.07234   0.05011   0.0314   1.0000   1.0000
   6.000   0.0062   0.07858   0.05629   0.0309   1.0000   1.0000
   7.000   0.0390   0.08591   0.06366   0.0292   1.0000   1.0000
   8.000   0.0735   0.09419   0.07203   0.0265   1.0000   1.0000
   9.000   0.1091   0.10325   0.08122   0.0231   1.0000   1.0000
  10.000   0.1457   0.11290   0.09104   0.0191   1.0000   1.0000
  11.000   0.1835   0.12302   0.10132   0.0145   1.0000   1.0000
  12.000   0.2225   0.13351   0.11197   0.0094   1.0000   1.0000
  13.000   0.2625   0.14432   0.12295   0.0039   1.0000   1.0000
  14.000   0.3034   0.15542   0.13422  -0.0021   1.0000   1.0000
  15.000   0.3448   0.16681   0.14577  -0.0085   1.0000   1.0000
  16.000   0.4367   0.19240   0.17175  -0.0272   0.9279   1.0000
  17.000   0.5037   0.20999   0.18962  -0.0384   0.8527   1.0000
  18.000   0.5579   0.22404   0.20382  -0.0462   0.7890   1.0000
  19.000   0.6056   0.23564   0.21560  -0.0527   0.7304   1.0000
  20.000   0.6503   0.24775   0.22783  -0.0591   0.6812   1.0000
  21.000   0.6917   0.25810   0.23831  -0.0652   0.6345   1.0000
  22.000   0.7331   0.26979   0.25014  -0.0717   0.5926   1.0000
  23.000   0.7743   0.28271   0.26321  -0.0787   0.5550   1.0000
  24.000   0.8196   0.30095   0.28164  -0.0861   0.5181   1.0000
  25.000   0.8475   0.30275   0.28353  -0.0927   0.4879   1.0000
