#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     9.000 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5711   0.00657   0.00189   0.0010   0.6008   0.1420
  -4.000  -0.4581   0.00625   0.00159   0.0010   0.5473   0.1755
  -3.000  -0.3445   0.00599   0.00136   0.0009   0.4946   0.2135
  -2.000  -0.2302   0.00582   0.00120   0.0007   0.4428   0.2563
  -1.000  -0.1152   0.00570   0.00110   0.0003   0.3947   0.3001
   0.000   0.0000   0.00567   0.00107   0.0000   0.3470   0.3471
   1.000   0.1152   0.00570   0.00110  -0.0004   0.3001   0.3947
   2.000   0.2302   0.00582   0.00120  -0.0007   0.2563   0.4428
   3.000   0.3445   0.00599   0.00136  -0.0009   0.2135   0.4946
   4.000   0.4582   0.00625   0.00159  -0.0010   0.1755   0.5473
   5.000   0.5711   0.00657   0.00189  -0.0010   0.1420   0.6008
   6.000   0.6827   0.00694   0.00227  -0.0009   0.1140   0.6608
   7.000   0.7933   0.00737   0.00272  -0.0005   0.0916   0.7212
   8.000   0.9027   0.00784   0.00323   0.0000   0.0752   0.7817
   9.000   1.0102   0.00840   0.00383   0.0007   0.0622   0.8380
  10.000   1.1149   0.00906   0.00452   0.0019   0.0518   0.8889
  11.000   1.2172   0.00977   0.00527   0.0035   0.0452   0.9289
  12.000   1.3129   0.01064   0.00616   0.0061   0.0390   0.9629
  13.000   1.3987   0.01160   0.00713   0.0106   0.0345   0.9906
  14.000   1.4931   0.01286   0.00836   0.0123   0.0308   1.0000
  15.000   1.5648   0.01427   0.00978   0.0179   0.0283   1.0000
  16.000   1.6332   0.01618   0.01170   0.0229   0.0259   1.0000
  17.000   1.6930   0.01883   0.01438   0.0276   0.0234   1.0000
  18.000   1.7477   0.02218   0.01780   0.0314   0.0224   1.0000
  19.000   1.7857   0.02722   0.02292   0.0348   0.0203   1.0000
  20.000   1.8184   0.03337   0.02920   0.0365   0.0197   1.0000
  21.000   1.8281   0.04241   0.03840   0.0367   0.0187   1.0000
  22.000   1.8131   0.05481   0.05099   0.0349   0.0174   1.0000
  23.000   1.7872   0.06915   0.06557   0.0313   0.0172   1.0000
  24.000   1.7278   0.08830   0.08501   0.0247   0.0167   1.0000
  25.000   1.6440   0.11164   0.10868   0.0147   0.0162   1.0000
