#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.037 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4901   0.05593   0.04580   0.0247   1.0000   0.5945
  -4.000  -0.4933   0.05088   0.04084   0.0387   1.0000   0.6553
  -3.000  -0.4914   0.04694   0.03694   0.0519   1.0000   0.7251
  -2.000  -0.3891   0.04684   0.03679   0.0519   1.0000   0.8037
  -1.000  -0.2602   0.04706   0.03692   0.0416   1.0000   0.8924
   0.000   0.0000   0.04842   0.03826   0.0000   0.9912   0.9912
   1.000   0.2600   0.04705   0.03691  -0.0415   0.8925   1.0000
   2.000   0.3892   0.04683   0.03677  -0.0519   0.8037   1.0000
   3.000   0.4916   0.04691   0.03691  -0.0520   0.7251   1.0000
   4.000   0.4935   0.05085   0.04081  -0.0387   0.6554   1.0000
   5.000   0.4904   0.05590   0.04576  -0.0247   0.5945   1.0000
   6.000   0.5127   0.06106   0.05085  -0.0131   0.5374   1.0000
   7.000   0.4494   0.07288   0.06239  -0.0009   0.4949   1.0000
   8.000   0.4486   0.08471   0.07415   0.0032   0.4555   1.0000
   9.000   0.4449   0.09995   0.08941   0.0028   0.4368   1.0000
  10.000   0.3424   0.12056   0.11000  -0.0057   0.5536   1.0000
  11.000   0.3852   0.13278   0.12229  -0.0066   0.5015   1.0000
  12.000   0.4418   0.14850   0.13810  -0.0088   0.4572   1.0000
  13.000   0.4737   0.16073   0.15037  -0.0102   0.4172   1.0000
  14.000   0.4860   0.16870   0.15831  -0.0119   0.3809   1.0000
  15.000   0.5111   0.17925   0.16885  -0.0154   0.3498   1.0000
  16.000   0.5742   0.19817   0.18785  -0.0189   0.3201   1.0000
  17.000   0.5805   0.20236   0.19199  -0.0242   0.2950   1.0000
  18.000   0.6183   0.21400   0.20368  -0.0293   0.2700   1.0000
  19.000   0.6645   0.22917   0.21891  -0.0343   0.2490   1.0000
  20.000   0.7043   0.24366   0.23342  -0.0403   0.2309   1.0000
  21.000   0.7340   0.25301   0.24279  -0.0474   0.2143   1.0000
  22.000   0.7678   0.26399   0.25381  -0.0545   0.1987   1.0000
  23.000   0.8034   0.27597   0.26584  -0.0619   0.1838   1.0000
  24.000   0.8311   0.28246   0.27240  -0.0705   0.1704   1.0000
  25.000   0.8579   0.28890   0.27887  -0.0800   0.1587   1.0000
