#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6110   0.01591   0.00883   0.0032   0.9548   0.3898
  -4.000  -0.4511   0.01470   0.00789  -0.0064   0.9311   0.4619
  -3.000  -0.3217   0.01355   0.00699  -0.0086   0.8952   0.5291
  -2.000  -0.2107   0.01266   0.00627  -0.0065   0.8477   0.5947
  -1.000  -0.1043   0.01212   0.00579  -0.0034   0.7906   0.6607
   0.000   0.0000   0.01196   0.00563   0.0000   0.7269   0.7269
   1.000   0.1043   0.01212   0.00579   0.0034   0.6607   0.7906
   2.000   0.2106   0.01266   0.00627   0.0065   0.5947   0.8477
   3.000   0.3217   0.01354   0.00699   0.0086   0.5291   0.8952
   4.000   0.4511   0.01469   0.00789   0.0064   0.4619   0.9312
   5.000   0.6110   0.01590   0.00883  -0.0032   0.3898   0.9549
   7.000   0.9147   0.01826   0.01069  -0.0221   0.2542   1.0000
   8.000   0.9624   0.01960   0.01180  -0.0121   0.2143   1.0000
   9.000   0.9974   0.02117   0.01329   0.0007   0.1823   1.0000
  10.000   1.0194   0.02300   0.01505   0.0156   0.1577   1.0000
  11.000   1.0432   0.02540   0.01748   0.0290   0.1374   1.0000
  12.000   1.0861   0.02892   0.02089   0.0366   0.1202   1.0000
  13.000   1.1260   0.03324   0.02544   0.0425   0.1063   1.0000
  14.000   1.1634   0.03854   0.03090   0.0465   0.0954   1.0000
  15.000   1.1939   0.04500   0.03757   0.0493   0.0867   1.0000
  16.000   1.2121   0.05312   0.04601   0.0505   0.0798   1.0000
  17.000   1.2219   0.06278   0.05600   0.0501   0.0744   1.0000
  18.000   1.2366   0.07252   0.06589   0.0487   0.0694   1.0000
  19.000   1.1312   0.10010   0.09458   0.0353   0.0671   1.0000
  21.000   0.4610   0.20213   0.19823  -0.0089   0.0724   1.0000
  22.000   0.4746   0.21158   0.20773  -0.0138   0.0660   1.0000
  23.000   0.4884   0.22120   0.21741  -0.0187   0.0606   1.0000
  24.000   0.5036   0.23077   0.22703  -0.0235   0.0562   1.0000
