#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5589   0.00718   0.00227  -0.0013   0.7410   0.2009
  -4.000  -0.4494   0.00678   0.00189  -0.0007   0.6790   0.2456
  -3.000  -0.3383   0.00649   0.00161  -0.0003   0.6177   0.2933
  -2.000  -0.2260   0.00631   0.00143  -0.0001   0.5580   0.3414
  -1.000  -0.1133   0.00618   0.00131   0.0000   0.5009   0.3941
   0.000   0.0000   0.00613   0.00127   0.0000   0.4474   0.4474
   1.000   0.1133   0.00618   0.00131   0.0000   0.3941   0.5009
   2.000   0.2260   0.00631   0.00142   0.0001   0.3414   0.5580
   3.000   0.3383   0.00649   0.00161   0.0003   0.2933   0.6177
   4.000   0.4494   0.00678   0.00189   0.0007   0.2456   0.6790
   5.000   0.5590   0.00718   0.00227   0.0013   0.2009   0.7410
   6.000   0.6676   0.00764   0.00274   0.0021   0.1638   0.8015
   7.000   0.7740   0.00826   0.00333   0.0032   0.1308   0.8560
   8.000   0.8785   0.00893   0.00401   0.0047   0.1062   0.9036
   9.000   0.9790   0.00976   0.00480   0.0068   0.0865   0.9416
  10.000   1.0742   0.01068   0.00569   0.0099   0.0720   0.9718
  11.000   1.1759   0.01177   0.00673   0.0111   0.0607   0.9911
  12.000   1.2942   0.01317   0.00805   0.0082   0.0512   0.9972
  13.000   1.3588   0.01442   0.00931   0.0158   0.0456   1.0000
  14.000   1.4235   0.01614   0.01105   0.0223   0.0408   1.0000
  15.000   1.4871   0.01847   0.01342   0.0273   0.0369   1.0000
  16.000   1.5423   0.02170   0.01672   0.0318   0.0335   1.0000
  17.000   1.5896   0.02599   0.02112   0.0352   0.0310   1.0000
  18.000   1.6253   0.03182   0.02709   0.0374   0.0290   1.0000
  19.000   1.6405   0.04034   0.03578   0.0380   0.0270   1.0000
  20.000   1.6424   0.05113   0.04681   0.0366   0.0258   1.0000
  21.000   1.6187   0.06565   0.06160   0.0329   0.0247   1.0000
  22.000   1.5598   0.08540   0.08168   0.0263   0.0235   1.0000
  23.000   1.4919   0.10749   0.10414   0.0172   0.0229   1.0000
  24.000   1.4260   0.13034   0.12732   0.0057   0.0222   1.0000
  25.000   1.3598   0.15454   0.15185  -0.0090   0.0213   1.0000
