#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5649   0.00686   0.00206  -0.0001   0.6779   0.1706
  -4.000  -0.4539   0.00649   0.00171   0.0002   0.6175   0.2116
  -3.000  -0.3414   0.00623   0.00146   0.0003   0.5584   0.2546
  -2.000  -0.2281   0.00604   0.00129   0.0003   0.5038   0.3004
  -1.000  -0.1142   0.00590   0.00118   0.0002   0.4515   0.3502
   1.000   0.1142   0.00590   0.00118  -0.0002   0.3503   0.4515
   2.000   0.2281   0.00604   0.00129  -0.0003   0.3004   0.5038
   3.000   0.3415   0.00623   0.00146  -0.0003   0.2546   0.5584
   4.000   0.4540   0.00649   0.00171  -0.0002   0.2116   0.6175
   5.000   0.5650   0.00686   0.00206   0.0001   0.1706   0.6779
   6.000   0.6754   0.00726   0.00248   0.0005   0.1389   0.7393
   8.000   0.8911   0.00836   0.00359   0.0021   0.0901   0.8531
   9.000   0.9956   0.00902   0.00428   0.0035   0.0741   0.9021
  10.000   1.0967   0.00980   0.00507   0.0054   0.0619   0.9405
  11.000   1.1912   0.01071   0.00597   0.0084   0.0522   0.9712
  13.000   1.3963   0.01305   0.00824   0.0097   0.0398   0.9993
  14.000   1.4578   0.01437   0.00957   0.0176   0.0359   1.0000
  15.000   1.5266   0.01621   0.01143   0.0229   0.0325   1.0000
  16.000   1.5885   0.01872   0.01397   0.0277   0.0296   1.0000
  17.000   1.6421   0.02213   0.01745   0.0319   0.0271   1.0000
  18.000   1.6887   0.02653   0.02196   0.0349   0.0256   1.0000
  19.000   1.7162   0.03311   0.02866   0.0370   0.0237   1.0000
  20.000   1.7351   0.04131   0.03703   0.0373   0.0226   1.0000
  21.000   1.7293   0.05283   0.04876   0.0358   0.0215   1.0000
  22.000   1.6916   0.06880   0.06500   0.0317   0.0202   1.0000
  23.000   1.6429   0.08701   0.08352   0.0255   0.0199   1.0000
  24.000   1.5705   0.10926   0.10611   0.0161   0.0194   1.0000
  25.000   1.4965   0.13286   0.13003   0.0038   0.0188   1.0000
