#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.273 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5460   0.01347   0.00693  -0.0085   0.9481   0.3746
  -4.000  -0.4201   0.01231   0.00597  -0.0107   0.9161   0.4379
  -3.000  -0.3109   0.01136   0.00518  -0.0088   0.8733   0.4996
  -2.000  -0.2081   0.01076   0.00466  -0.0057   0.8171   0.5618
  -1.000  -0.1041   0.01041   0.00434  -0.0028   0.7552   0.6255
   0.000   0.0000   0.01030   0.00424   0.0000   0.6904   0.6904
   1.000   0.1041   0.01041   0.00434   0.0028   0.6255   0.7552
   2.000   0.2081   0.01076   0.00466   0.0057   0.5618   0.8171
   3.000   0.3109   0.01136   0.00517   0.0088   0.4996   0.8733
   4.000   0.4201   0.01231   0.00597   0.0107   0.4379   0.9161
   5.000   0.5460   0.01347   0.00693   0.0085   0.3746   0.9481
   7.000   0.8505   0.01620   0.00917  -0.0096   0.2450   0.9869
   8.000   0.9819   0.01768   0.01046  -0.0157   0.1930   1.0000
   9.000   1.0173   0.01903   0.01173  -0.0029   0.1637   1.0000
  10.000   1.0273   0.02066   0.01324   0.0144   0.1427   1.0000
  11.000   1.0507   0.02278   0.01541   0.0280   0.1242   1.0000
  12.000   1.0897   0.02628   0.01890   0.0359   0.1086   1.0000
  13.000   1.1303   0.03068   0.02344   0.0410   0.0959   1.0000
  14.000   1.1645   0.03634   0.02923   0.0444   0.0860   1.0000
  15.000   1.1924   0.04323   0.03630   0.0463   0.0782   1.0000
  16.000   1.2123   0.05148   0.04479   0.0467   0.0719   1.0000
  17.000   1.2243   0.06127   0.05486   0.0456   0.0666   1.0000
  18.000   1.2360   0.07157   0.06535   0.0436   0.0623   1.0000
  19.000   1.2288   0.08524   0.07940   0.0386   0.0585   1.0000
  20.000   1.1995   0.10301   0.09767   0.0305   0.0554   1.0000
  21.000   1.1657   0.12272   0.11782   0.0197   0.0528   1.0000
  24.000   0.8362   0.26732   0.26357  -0.0700   0.0457   1.0000
  25.000   0.8734   0.27660   0.27288  -0.0772   0.0423   1.0000
