#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.001 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0725   0.15076   0.07829  -0.0252   1.0000   1.0000
  -4.000  -0.0565   0.14747   0.07477  -0.0215   1.0000   1.0000
  -3.000  -0.0415   0.14485   0.07203  -0.0170   1.0000   1.0000
  -2.000  -0.0274   0.14294   0.07009  -0.0117   1.0000   1.0000
  -1.000  -0.0137   0.14178   0.06892  -0.0060   1.0000   1.0000
   0.000   0.0000   0.14138   0.06853   0.0000   1.0000   1.0000
   1.000   0.0137   0.14177   0.06892   0.0060   1.0000   1.0000
   2.000   0.0274   0.14294   0.07008   0.0117   1.0000   1.0000
   3.000   0.0415   0.14484   0.07202   0.0170   1.0000   1.0000
   4.000   0.0565   0.14746   0.07476   0.0215   1.0000   1.0000
   5.000   0.0724   0.15074   0.07828   0.0251   1.0000   1.0000
   6.000   0.0891   0.15462   0.08252   0.0278   1.0000   1.0000
   7.000   0.1063   0.15902   0.08743   0.0296   1.0000   1.0000
   8.000   0.1237   0.16385   0.09289   0.0305   1.0000   1.0000
   9.000   0.1413   0.16900   0.09878   0.0306   1.0000   1.0000
  10.000   0.1591   0.17440   0.10495   0.0300   1.0000   1.0000
  11.000   0.1771   0.18000   0.11143   0.0289   1.0000   1.0000
  12.000   0.1954   0.18577   0.11811   0.0271   1.0000   1.0000
  13.000   0.2142   0.19173   0.12495   0.0249   1.0000   1.0000
  14.000   0.2336   0.19801   0.13216   0.0223   1.0000   1.0000
  15.000   0.2533   0.20464   0.13973   0.0193   1.0000   1.0000
  16.000   0.2732   0.21163   0.14763   0.0160   1.0000   1.0000
  17.000   0.2933   0.21896   0.15592   0.0124   1.0000   1.0000
  18.000   0.3135   0.22664   0.16456   0.0086   1.0000   1.0000
  19.000   0.3335   0.23465   0.17355   0.0046   1.0000   1.0000
  20.000   0.3534   0.24298   0.18283   0.0004   1.0000   1.0000
  21.000   0.3731   0.25161   0.19246  -0.0040   1.0000   1.0000
  22.000   0.3923   0.26053   0.20239  -0.0085   1.0000   1.0000
  23.000   0.4112   0.26971   0.21260  -0.0132   1.0000   1.0000
  24.000   0.4295   0.27913   0.22302  -0.0179   1.0000   1.0000
  25.000   0.4473   0.28877   0.23371  -0.0228   1.0000   1.0000
