#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.070 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.7666   0.02643   0.01757   0.0341   1.0000   0.4706
  -4.000  -0.7008   0.02571   0.01701   0.0405   1.0000   0.5392
  -3.000  -0.6186   0.02597   0.01767   0.0438   0.9953   0.6105
  -2.000  -0.4280   0.02767   0.01962   0.0290   0.9455   0.7027
  -1.000  -0.2409   0.02922   0.02137   0.0183   0.8926   0.7801
   0.000   0.0000   0.03036   0.02255   0.0000   0.8407   0.8407
   1.000   0.2409   0.02922   0.02137  -0.0183   0.7801   0.8926
   2.000   0.4278   0.02766   0.01962  -0.0289   0.7028   0.9455
   3.000   0.6186   0.02596   0.01767  -0.0438   0.6105   0.9953
   4.000   0.7005   0.02570   0.01700  -0.0405   0.5392   1.0000
   5.000   0.7664   0.02642   0.01756  -0.0341   0.4706   1.0000
   6.000   0.8302   0.02767   0.01861  -0.0266   0.4074   1.0000
   7.000   0.8889   0.02958   0.02033  -0.0180   0.3504   1.0000
   8.000   0.9488   0.03199   0.02243  -0.0094   0.3007   1.0000
   9.000   0.9894   0.03558   0.02619   0.0016   0.2587   1.0000
  10.000   1.0297   0.03997   0.03070   0.0121   0.2253   1.0000
  11.000   1.0766   0.04512   0.03583   0.0205   0.1984   1.0000
  12.000   1.0530   0.05347   0.04488   0.0347   0.1815   1.0000
  14.000   0.3586   0.15232   0.14531   0.0115   0.2533   1.0000
  15.000   0.3894   0.16264   0.15572   0.0106   0.2322   1.0000
  16.000   0.4008   0.17168   0.16481   0.0085   0.2142   1.0000
  17.000   0.3878   0.17525   0.16845   0.0050   0.1957   1.0000
  18.000   0.3993   0.18289   0.17615   0.0017   0.1785   1.0000
  19.000   0.4144   0.19114   0.18448  -0.0019   0.1634   1.0000
  20.000   0.4301   0.19971   0.19312  -0.0058   0.1501   1.0000
  21.000   0.4461   0.20858   0.20206  -0.0099   0.1387   1.0000
  22.000   0.4627   0.21773   0.21128  -0.0141   0.1285   1.0000
  23.000   0.4800   0.22717   0.22081  -0.0185   0.1188   1.0000
  24.000   0.5008   0.23770   0.23142  -0.0226   0.1098   1.0000
