#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.7376   0.03428   0.02507   0.0353   1.0000   0.5216
  -4.000  -0.6762   0.03338   0.02436   0.0443   1.0000   0.5891
  -3.000  -0.6225   0.03256   0.02360   0.0531   1.0000   0.6635
  -2.000  -0.5598   0.03340   0.02465   0.0613   1.0000   0.7376
  -1.000  -0.3896   0.03715   0.02839   0.0502   0.9679   0.8248
   0.000   0.0000   0.04130   0.03240   0.0000   0.8992   0.8992
   1.000   0.3896   0.03714   0.02838  -0.0502   0.8249   0.9679
   2.000   0.5596   0.03340   0.02464  -0.0613   0.7376   1.0000
   3.000   0.6224   0.03255   0.02358  -0.0531   0.6636   1.0000
   4.000   0.6760   0.03338   0.02435  -0.0443   0.5892   1.0000
   5.000   0.7373   0.03428   0.02507  -0.0353   0.5216   1.0000
   6.000   0.7970   0.03595   0.02654  -0.0259   0.4581   1.0000
   7.000   0.8426   0.03894   0.02951  -0.0150   0.3997   1.0000
   8.000   0.8645   0.04386   0.03459  -0.0021   0.3504   1.0000
   9.000   0.8624   0.05077   0.04169   0.0120   0.3114   1.0000
  10.000   0.5774   0.08887   0.07990   0.0182   0.3034   1.0000
  13.000   0.4818   0.15322   0.14430  -0.0047   0.3409   1.0000
  14.000   0.4918   0.16370   0.15475  -0.0080   0.3122   1.0000
  15.000   0.5451   0.17851   0.16963  -0.0107   0.2844   1.0000
  16.000   0.5585   0.18814   0.17923  -0.0160   0.2621   1.0000
  17.000   0.5875   0.19876   0.18985  -0.0213   0.2383   1.0000
  18.000   0.6249   0.21074   0.20185  -0.0265   0.2183   1.0000
  19.000   0.6629   0.22313   0.21428  -0.0322   0.2009   1.0000
  20.000   0.6981   0.23496   0.22614  -0.0387   0.1853   1.0000
  21.000   0.7307   0.24574   0.23695  -0.0459   0.1710   1.0000
  22.000   0.7623   0.25595   0.24718  -0.0538   0.1577   1.0000
  23.000   0.7924   0.26553   0.25679  -0.0625   0.1462   1.0000
  24.000   0.8237   0.27555   0.26685  -0.0713   0.1360   1.0000
  25.000   0.8562   0.28579   0.27713  -0.0801   0.1266   1.0000
