#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.400 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5196   0.01117   0.00520  -0.0122   0.9319   0.3482
  -4.000  -0.4155   0.01027   0.00442  -0.0098   0.8907   0.4052
  -3.000  -0.3133   0.00964   0.00385  -0.0069   0.8373   0.4633
  -2.000  -0.2092   0.00924   0.00345  -0.0045   0.7775   0.5235
  -1.000  -0.1047   0.00902   0.00322  -0.0022   0.7136   0.5853
   0.000   0.0000   0.00895   0.00314   0.0000   0.6489   0.6489
   1.000   0.1047   0.00902   0.00322   0.0022   0.5853   0.7136
   2.000   0.2093   0.00924   0.00345   0.0045   0.5235   0.7775
   3.000   0.3134   0.00964   0.00385   0.0069   0.4633   0.8373
   4.000   0.4156   0.01027   0.00442   0.0098   0.4052   0.8907
   5.000   0.5197   0.01117   0.00520   0.0122   0.3482   0.9319
   6.000   0.6371   0.01235   0.00618   0.0113   0.2908   0.9620
   7.000   0.7833   0.01384   0.00739   0.0034   0.2321   0.9771
   8.000   0.9293   0.01540   0.00874  -0.0050   0.1810   0.9904
   9.000   1.0524   0.01712   0.01027  -0.0094   0.1428   1.0000
  10.000   1.0745   0.01837   0.01151   0.0062   0.1234   1.0000
  11.000   1.0807   0.02010   0.01323   0.0238   0.1090   1.0000
  12.000   1.1244   0.02290   0.01610   0.0320   0.0948   1.0000
  13.000   1.1617   0.02731   0.02054   0.0379   0.0839   1.0000
  14.000   1.1978   0.03281   0.02623   0.0413   0.0754   1.0000
  15.000   1.2219   0.04020   0.03381   0.0428   0.0686   1.0000
  16.000   1.2354   0.04937   0.04315   0.0427   0.0631   1.0000
  17.000   1.2441   0.06016   0.05427   0.0404   0.0587   1.0000
  18.000   1.2431   0.07255   0.06694   0.0371   0.0549   1.0000
  19.000   1.2427   0.08520   0.07975   0.0331   0.0515   1.0000
  20.000   1.2298   0.10067   0.09561   0.0265   0.0486   1.0000
  21.000   1.2228   0.11519   0.11036   0.0199   0.0460   1.0000
  22.000   1.2024   0.13294   0.12847   0.0098   0.0434   1.0000
  23.000   1.1813   0.15115   0.14701  -0.0016   0.0413   1.0000
  24.000   0.5178   0.22595   0.22329  -0.0232   0.0381   1.0000
  25.000   0.5266   0.23698   0.23436  -0.0290   0.0344   1.0000
