#  
#       XFOIL         Version 6.97
#  
# Calculated polar for: NACA 0018                                       
#  
# 1 1 Reynolds number fixed          Mach number fixed         
#  
# xtrf =   1.000 (top)        1.000 (bottom)  
# Mach =   0.000     Re =     0.700 e 6     Ncrit =   9.000
#  
#   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
#  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5302   0.00921   0.00373  -0.0083   0.8913   0.3041
  -4.000  -0.4264   0.00860   0.00317  -0.0062   0.8397   0.3577
  -3.000  -0.3209   0.00816   0.00274  -0.0044   0.7812   0.4137
  -2.000  -0.2144   0.00788   0.00245  -0.0028   0.7181   0.4710
  -1.000  -0.1073   0.00773   0.00228  -0.0014   0.6540   0.5300
   0.000   0.0000   0.00768   0.00222   0.0000   0.5910   0.5910
   1.000   0.1073   0.00773   0.00228   0.0014   0.5300   0.6540
   2.000   0.2144   0.00788   0.00245   0.0028   0.4710   0.7181
   3.000   0.3209   0.00816   0.00274   0.0044   0.4137   0.7812
   4.000   0.4265   0.00860   0.00317   0.0062   0.3577   0.8397
   5.000   0.5303   0.00921   0.00373   0.0082   0.3040   0.8914
   6.000   0.6315   0.01003   0.00446   0.0108   0.2540   0.9327
   7.000   0.7352   0.01111   0.00538   0.0126   0.2075   0.9643
   8.000   0.8649   0.01251   0.00656   0.0082   0.1634   0.9797
   9.000   0.9990   0.01408   0.00795   0.0023   0.1278   0.9907
  10.000   1.1328   0.01590   0.00961  -0.0041   0.1010   0.9992
  11.000   1.1501   0.01699   0.01073   0.0127   0.0892   1.0000
  12.000   1.1830   0.01885   0.01262   0.0251   0.0784   1.0000
  13.000   1.2324   0.02184   0.01566   0.0318   0.0691   1.0000
  14.000   1.2794   0.02584   0.01980   0.0364   0.0619   1.0000
  15.000   1.3142   0.03161   0.02574   0.0394   0.0562   1.0000
  16.000   1.3300   0.04010   0.03443   0.0403   0.0517   1.0000
  17.000   1.3407   0.05022   0.04484   0.0390   0.0481   1.0000
  18.000   1.3247   0.06435   0.05929   0.0354   0.0454   1.0000
  19.000   1.2992   0.08062   0.07586   0.0299   0.0430   1.0000
  20.000   1.2681   0.09831   0.09386   0.0231   0.0408   1.0000
  21.000   1.2430   0.11580   0.11161   0.0152   0.0387   1.0000
  22.000   1.2249   0.13255   0.12860   0.0066   0.0367   1.0000
  23.000   1.2133   0.14883   0.14510  -0.0031   0.0347   1.0000
  24.000   1.2068   0.16444   0.16091  -0.0135   0.0328   1.0000
  25.000   1.2019   0.18019   0.17687  -0.0251   0.0310   1.0000
