#
# Data generated using Xfoil and the scrip xfoil.py
# Re = 4e+5
#
#      x          Cp  
     1.00000    0.20035
     0.98969    0.18841
     0.97656    0.17046
     0.96203    0.14879
     0.94616    0.12336
     0.92904    0.09465
     0.91088    0.06340
     0.89186    0.03052
     0.87220   -0.00315
     0.85207   -0.03695
     0.83161   -0.07045
     0.81092   -0.10343
     0.79008   -0.13584
     0.76915   -0.16771
     0.74815   -0.19913
     0.72712   -0.23023
     0.70607   -0.26113
     0.68503   -0.29197
     0.66401   -0.32288
     0.64301   -0.35398
     0.62206   -0.38536
     0.60116   -0.41714
     0.58031   -0.44941
     0.55954   -0.48224
     0.53884   -0.51570
     0.51824   -0.54986
     0.49774   -0.58477
     0.47735   -0.62047
     0.45709   -0.65697
     0.43697   -0.69427
     0.41701   -0.73236
     0.39721   -0.77115
     0.37761   -0.81051
     0.35822   -0.85021
     0.33907   -0.88986
     0.32018   -0.92885
     0.30159   -0.96651
     0.28334   -1.00353
     0.26548   -1.04886
     0.24805   -1.14163
     0.23112   -1.31574
     0.21475   -1.34823
     0.19900   -1.38221
     0.18393   -1.41819
     0.16961   -1.45675
     0.15608   -1.49822
     0.14336   -1.54254
     0.13148   -1.58920
     0.12043   -1.63742
     0.11018   -1.68640
     0.10070   -1.73545
     0.09194   -1.78409
     0.08387   -1.83194
     0.07641   -1.87874
     0.06953   -1.92425
     0.06317   -1.96826
     0.05729   -2.01053
     0.05184   -2.05077
     0.04679   -2.08863
     0.04211   -2.12365
     0.03775   -2.15526
     0.03371   -2.18273
     0.02995   -2.20516
     0.02645   -2.22143
     0.02321   -2.23017
     0.02021   -2.22973
     0.01743   -2.21813
     0.01486   -2.19310
     0.01251   -2.15209
     0.01037   -2.09238
     0.00843   -2.01121
     0.00670   -1.90614
     0.00517   -1.77540
     0.00384   -1.61843
     0.00271   -1.43634
     0.00179   -1.23231
     0.00106   -1.01160
     0.00053   -0.78132
     0.00019   -0.54911
     0.00002   -0.32442
     0.00002   -0.11368
     0.00019    0.08689
     0.00053    0.27612
     0.00106    0.44854
     0.00179    0.59988
     0.00271    0.72710
     0.00384    0.82845
     0.00517    0.90446
     0.00670    0.95639
     0.00843    0.98711
     0.01037    0.99940
     0.01251    0.99655
     0.01486    0.98141
     0.01743    0.95681
     0.02021    0.92474
     0.02321    0.88737
     0.02645    0.84594
     0.02995    0.80186
     0.03371    0.75595
     0.03775    0.70899
     0.04211    0.66154
     0.04679    0.61402
     0.05184    0.56677
     0.05729    0.52005
     0.06317    0.47405
     0.06953    0.42895
     0.07641    0.38490
     0.08387    0.34204
     0.09194    0.30051
     0.10070    0.26048
     0.11018    0.22209
     0.12043    0.18554
     0.13148    0.15101
     0.14336    0.11870
     0.15608    0.08876
     0.16961    0.06136
     0.18393    0.03660
     0.19900    0.01452
     0.21475   -0.00489
     0.23112   -0.02167
     0.24805   -0.03596
     0.26548   -0.04789
     0.28334   -0.05762
     0.30159   -0.06536
     0.32018   -0.07127
     0.33907   -0.07553
     0.35822   -0.07833
     0.37761   -0.07982
     0.39721   -0.08015
     0.41701   -0.07945
     0.43697   -0.07783
     0.45709   -0.07541
     0.47735   -0.07227
     0.49774   -0.06849
     0.51824   -0.06412
     0.53884   -0.05923
     0.55954   -0.05384
     0.58031   -0.04797
     0.60116   -0.04164
     0.62206   -0.03484
     0.64301   -0.02755
     0.66401   -0.01974
     0.68503   -0.01138
     0.70607   -0.00244
     0.72712    0.00705
     0.74815    0.01697
     0.76915    0.02702
     0.79008    0.03668
     0.81092    0.04532
     0.83161    0.05260
     0.85207    0.05876
     0.87220    0.06366
     0.89186    0.06735
     0.91088    0.07005
     0.92904    0.07202
     0.94616    0.07352
     0.96203    0.07476
     0.97656    0.07597
     0.98969    0.14924
     1.00000    0.20035
