#
# Data generated using Xfoil and the scrip xfoil.py
# Re = 5e+5
#
#      x          Cp  
     1.00000    0.28124
     0.98969    0.25360
     0.97656    0.21565
     0.96203    0.17861
     0.94616    0.14284
     0.92904    0.10926
     0.91088    0.07808
     0.89186    0.04932
     0.87220    0.02282
     0.85207   -0.00167
     0.83161   -0.02434
     0.81092   -0.04541
     0.79008   -0.06500
     0.76915   -0.08320
     0.74815   -0.09999
     0.72712   -0.11537
     0.70607   -0.12968
     0.68503   -0.14505
     0.66401   -0.17005
     0.64301   -0.22217
     0.62206   -0.28224
     0.60116   -0.29189
     0.58031   -0.30254
     0.55954   -0.31386
     0.53884   -0.32596
     0.51824   -0.33897
     0.49774   -0.35299
     0.47735   -0.36806
     0.45709   -0.38408
     0.43697   -0.40089
     0.41701   -0.41829
     0.39721   -0.43606
     0.37761   -0.45401
     0.35822   -0.47195
     0.33907   -0.48972
     0.32018   -0.50715
     0.30159   -0.52408
     0.28334   -0.54034
     0.26548   -0.55574
     0.24805   -0.57009
     0.23112   -0.58319
     0.21475   -0.59483
     0.19900   -0.60479
     0.18393   -0.61288
     0.16961   -0.61892
     0.15608   -0.62276
     0.14336   -0.62428
     0.13148   -0.62339
     0.12043   -0.62003
     0.11018   -0.61418
     0.10070   -0.60579
     0.09194   -0.59484
     0.08387   -0.58128
     0.07641   -0.56506
     0.06953   -0.54607
     0.06317   -0.52420
     0.05729   -0.49928
     0.05184   -0.47112
     0.04679   -0.43947
     0.04211   -0.40406
     0.03775   -0.36456
     0.03371   -0.32063
     0.02995   -0.27186
     0.02645   -0.21784
     0.02321   -0.15818
     0.02021   -0.09249
     0.01743   -0.02047
     0.01486    0.05804
     0.01251    0.14296
     0.01037    0.23389
     0.00843    0.32995
     0.00670    0.42964
     0.00517    0.53078
     0.00384    0.63043
     0.00271    0.72504
     0.00179    0.81069
     0.00106    0.88353
     0.00053    0.94025
     0.00019    0.97865
     0.00002    0.99767
     0.00002    0.99767
     0.00019    0.97865
     0.00053    0.94025
     0.00106    0.88353
     0.00179    0.81069
     0.00271    0.72504
     0.00384    0.63043
     0.00517    0.53078
     0.00670    0.42964
     0.00843    0.32995
     0.01037    0.23389
     0.01251    0.14296
     0.01486    0.05804
     0.01743   -0.02047
     0.02021   -0.09249
     0.02321   -0.15818
     0.02645   -0.21784
     0.02995   -0.27186
     0.03371   -0.32063
     0.03775   -0.36456
     0.04211   -0.40406
     0.04679   -0.43947
     0.05184   -0.47112
     0.05729   -0.49928
     0.06317   -0.52420
     0.06953   -0.54607
     0.07641   -0.56506
     0.08387   -0.58128
     0.09194   -0.59484
     0.10070   -0.60579
     0.11018   -0.61418
     0.12043   -0.62003
     0.13148   -0.62339
     0.14336   -0.62428
     0.15608   -0.62276
     0.16961   -0.61892
     0.18393   -0.61288
     0.19900   -0.60479
     0.21475   -0.59483
     0.23112   -0.58319
     0.24805   -0.57009
     0.26548   -0.55574
     0.28334   -0.54034
     0.30159   -0.52408
     0.32018   -0.50715
     0.33907   -0.48972
     0.35822   -0.47195
     0.37761   -0.45401
     0.39721   -0.43606
     0.41701   -0.41829
     0.43697   -0.40089
     0.45709   -0.38408
     0.47735   -0.36806
     0.49774   -0.35299
     0.51824   -0.33897
     0.53884   -0.32596
     0.55954   -0.31386
     0.58031   -0.30254
     0.60116   -0.29189
     0.62206   -0.28224
     0.64301   -0.22217
     0.66401   -0.17005
     0.68503   -0.14505
     0.70607   -0.12968
     0.72712   -0.11537
     0.74815   -0.09999
     0.76915   -0.08320
     0.79008   -0.06500
     0.81092   -0.04541
     0.83161   -0.02434
     0.85207   -0.00167
     0.87220    0.02282
     0.89186    0.04932
     0.91088    0.07808
     0.92904    0.10926
     0.94616    0.14284
     0.96203    0.17861
     0.97656    0.21565
     0.98969    0.25360
     1.00000    0.28124
