# Xfoil data fot NACA 0018 airfoil
# Re = Inviscous   alfa = 14
#      x          Cp
     1.00000    0.55576
     0.98969    0.32805
     0.97656    0.24805
     0.96203    0.17672
     0.94616    0.11684
     0.92904    0.06209
     0.91088    0.01098
     0.89186   -0.03750
     0.87220   -0.08393
     0.85207   -0.12876
     0.83161   -0.17236
     0.81092   -0.21505
     0.79008   -0.25713
     0.76915   -0.29888
     0.74815   -0.34054
     0.72712   -0.38234
     0.70607   -0.42450
     0.68503   -0.46720
     0.66401   -0.51063
     0.64301   -0.55497
     0.62206   -0.60038
     0.60116   -0.64704
     0.58031   -0.69510
     0.55954   -0.74472
     0.53884   -0.79606
     0.51824   -0.84928
     0.49774   -0.90454
     0.47735   -0.96203
     0.45709   -1.02190
     0.43697   -1.08435
     0.41701   -1.14956
     0.39721   -1.21774
     0.37761   -1.28908
     0.35822   -1.36381
     0.33907   -1.44216
     0.32018   -1.52436
     0.30159   -1.61065
     0.28334   -1.70125
     0.26548   -1.79638
     0.24805   -1.89624
     0.23112   -2.00098
     0.21475   -2.11068
     0.19900   -2.22538
     0.18393   -2.34501
     0.16961   -2.46945
     0.15608   -2.59848
     0.14336   -2.73186
     0.13148   -2.86935
     0.12043   -3.01069
     0.11018   -3.15569
     0.10070   -3.30422
     0.09194   -3.45623
     0.08387   -3.61169
     0.07641   -3.77066
     0.06953   -3.93323
     0.06317   -4.09948
     0.05729   -4.26949
     0.05184   -4.44329
     0.04679   -4.62085
     0.04211   -4.80197
     0.03775   -4.98631
     0.03371   -5.17327
     0.02995   -5.36189
     0.02645   -5.55079
     0.02321   -5.73800
     0.02021   -5.92081
     0.01743   -6.09559
     0.01486   -6.25762
     0.01251   -6.40094
     0.01037   -6.51824
     0.00843   -6.60095
     0.00670   -6.63950
     0.00517   -6.62405
     0.00384   -6.54555
     0.00271   -6.39723
     0.00179   -6.17612
     0.00106   -5.88445
     0.00053   -5.53028
     0.00019   -5.12647
     0.00002   -4.69190
     0.00002   -4.25193
     0.00019   -3.79915
     0.00053   -3.32444
     0.00106   -2.83918
     0.00179   -2.35544
     0.00271   -1.88675
     0.00384   -1.44503
     0.00517   -1.03941
     0.00670   -0.67559
     0.00843   -0.35599
     0.01037   -0.08034
     0.01251    0.15356
     0.01486    0.34913
     0.01743    0.51033
     0.02021    0.64126
     0.02321    0.74590
     0.02645    0.82789
     0.02995    0.89048
     0.03371    0.93654
     0.03775    0.96853
     0.04211    0.98854
     0.04679    0.99836
     0.05184    0.99950
     0.05729    0.99323
     0.06317    0.98065
     0.06953    0.96267
     0.07641    0.94010
     0.08387    0.91364
     0.09194    0.88392
     0.10070    0.85154
     0.11018    0.81704
     0.12043    0.78098
     0.13148    0.74389
     0.14336    0.70631
     0.15608    0.66876
     0.16961    0.63172
     0.18393    0.59566
     0.19900    0.56095
     0.21475    0.52789
     0.23112    0.49670
     0.24805    0.46753
     0.26548    0.44043
     0.28334    0.41542
     0.30159    0.39244
     0.32018    0.37142
     0.33907    0.35226
     0.35822    0.33485
     0.37761    0.31906
     0.39721    0.30478
     0.41701    0.29190
     0.43697    0.28028
     0.45709    0.26984
     0.47735    0.26048
     0.49774    0.25210
     0.51824    0.24462
     0.53884    0.23798
     0.55954    0.23211
     0.58031    0.22696
     0.60116    0.22248
     0.62206    0.21865
     0.64301    0.21545
     0.66401    0.21285
     0.68503    0.21087
     0.70607    0.20952
     0.72712    0.20884
     0.74815    0.20886
     0.76915    0.20967
     0.79008    0.21135
     0.81092    0.21404
     0.83161    0.21790
     0.85207    0.22315
     0.87220    0.23006
     0.89186    0.23899
     0.91088    0.25041
     0.92904    0.26494
     0.94616    0.28358
     0.96203    0.30778
     0.97656    0.34224
     0.98969    0.38818
     1.00000    0.55576
